"","Messy text","text"
"165","As students understand the inventions and how the work they can study the history and tools of the time. Scientists are people 2 #siteconf","As students understand the inventions and how the work they can study the history and tools of the time. Scientists are people 2"
"166","@gravesle @k12albemarle @irasocol Matt is a good guy - tell him hello .. @RickVrhovac principal of @SMSSharks is right there w you #siteconf","@gravesle @k12albemarle @irasocol Matt is a good guy - tell him hello .. @RickVrhovac principal of @SMSSharks is right there w you"
"167","Fab@School Maker Studio - FableVision Learning very cool! Must check it out! #siteconf http://shop.fablevisionlearning.com/fabschool-designer-/fa/shop.detail/productID/2957/#.VPiRE4Y76nM<U+00A0>＃","Fab@School Maker Studio - FableVision Learning very cool! Must check it out!"
"168","Watching #siteconf keynote speaker from the Smithsonian talking about the amazing & innovative work @k12albemarle (cc @pammoran @irasocol )","Watching  keynote speaker from the Smithsonian talking about the amazing & innovative work @k12albemarle (cc @pammoran @irasocol )"
"169","Models can be rotated and scaled for viewing in explorer http://3d.si.edu<U+00A0> #siteconf #edp4130","Models can be rotated and scaled for viewing in explorer <U+00A0>  #edp4130"
"170","The Wright Brothers | A Letter to the Smithsonian - #siteconf  http://airandspace.si.edu/exhibitions/wright-brothers/online/fly/1899/letter.cfm<U+00A0>＃","The Wright Brothers | A Letter to the Smithsonian -"
"171","I would say education is not about ""delivering content"" but facilitating learning. #siteconf","I would say education is not about ""delivering content"" but facilitating learning."
"172","Matt Hoffman of @smithsonian discussing 3D-printed historical reconstructions at #siteconf pic.twitter.com/kZjJezIcJX","Matt Hoffman of @smithsonian discussing 3D-printed historical reconstructions at"
"173","Keynote: American Innovation in an age of Discovery: Teaching Science through 3D. Smithsonian Institution  #SITEconf pic.twitter.com/4al84vLHWO","Keynote: American Innovation in an age of Discovery: Teaching Science through 3D. Smithsonian Institution"
"174","#siteconf #msftedu the first gold nugget that started the California Gold Rush, shown to us by this morning's speaker pic.twitter.com/j0Updr15L9","#msftedu the first gold nugget that started the California Gold Rush, shown to us by this morning's speaker"
"175","#siteconf http://academicexperts.org/conf/site/2015/papers/44226/<U+00A0>＃ excited to share about virtual contexts and preservice teachers student teaching",""
"176","Great food and company in Vegas tonight! #siteconf pic.twitter.com/dPtrE3uPwL","Great food and company in Vegas tonight!"
"177","RT @jdsnwg: How many of these design considerations would students say are evident in their schools? #siteconf pic.twitter.com/7SWo1yrEF2","RT @jdsnwg: How many of these design considerations would students say are evident in their schools?"
"178","I'm having a great time at #siteconf with my @ctltisu colleagues! Some amazing presentations from @ISUSOE","I'm having a great time at  with my @ctltisu colleagues! Some amazing presentations from @ISUSOE"
"179","#SITEconf 2015 每 Factors Influencing Teacher Satisfaction at an Online Charter School http://wp.me/pba4d-aLo<U+00A0>","2015 每 Factors Influencing Teacher Satisfaction at an Online Charter School"
"180","New-Media Enhanced Narratives  by @dalitl presetes at #siteconf http://www.slideshare.net/damom7/newmedia-enhanced-narratives<U+00A0>＃ via @SlideShare","New-Media Enhanced Narratives  by @dalitl presetes at"
"181","#SmashFactapp supports Spanish characters-combine with audio clips to effectively teach the language http://ow.ly/B27GR<U+00A0> #SITEconf","#SmashFactapp supports Spanish characters-combine with audio clips to effectively teach the language"
"182","I met so many wonderful people standing next to this amazing poster. @mcdanger @ProfStay #siteconf pic.twitter.com/AmPIrUESqP","I met so many wonderful people standing next to this amazing poster. @mcdanger @ProfStay"
"183","#SITEconf 2015 每 The At-Risk Student＊s Journey with Online Course Credit; Looking at Perceptions of Care and Their＃ http://wp.me/pba4d-aKe<U+00A0>","2015 每 The At-Risk Student＊s Journey with Online Course Credit; Looking at Perceptions of Care and Their＃"
"184","To be high integrators 21st century tech in the classroom - need Will, Skill and Tools #siteconf #sunwest pic.twitter.com/saoyZ11c1s","To be high integrators 21st century tech in the classroom - need Will, Skill and Tools  #sunwest"
"185","http://Twine.org<U+00A0> intertwining learning for S's in classrooms #siteconf @kipglazer","intertwining learning for S's in classrooms  @kipglazer"
"186","Utilizing 21st tech to further practice & student learning: Not about the technology but what we do with it #siteconf pic.twitter.com/iO4HANpnGZ","Utilizing 21st tech to further practice & student learning: Not about the technology but what we do with it"
"187","""#TPACK is inherently unstable knowledge""
#siteconf TPACK as shared practice http://academicexperts.org/conf/site/2015/papers/44601/<U+00A0>＃ via @@siteconf","""#TPACK is inherently unstable knowledge""
 TPACK as shared practice"
"188","#SITEconf 2015 每 Information Literacy, Libraries, and Virtual Schools: New Standards for New Modalities http://wp.me/pba4d-aKc<U+00A0>","2015 每 Information Literacy, Libraries, and Virtual Schools: New Standards for New Modalities"
"189","Can TPACK be shared knowledge, situated, social, distributed, protean,  #siteconf","Can TPACK be shared knowledge, situated, social, distributed, protean,"
"190","#siteconf Utilizing Wearable Technologies as a Pathway to STEM http://ln.is/academicexperts.org/l7ch6<U+00A0>＃ via @@siteconf <U+05DE><U+05E2><U+05E0><U+05D9><U+05D9><U+05DF>","Utilizing Wearable Technologies as a Pathway to STEM"
"191","Presenting PEP in 30 min @siteconf. Excited to share what we're up to!
#siteconf #site2015 http://ow.ly/JWGoY<U+00A0>","Presenting PEP in 30 min @siteconf. Excited to share what we're up to!
 #site2015"
"192","Gearing up for second presentation - distributed TPACK @djplaner @chalkhands #siteconf","Gearing up for second presentation - distributed TPACK @djplaner @chalkhands"
"193","Showing teachers 'Using SmashFact to Improve Student Outcomes' (Amazon S, 4:15) #site2015 #smashfactapp #siteconf http://ow.ly/i/8SGk5<U+00A0>","Showing teachers 'Using SmashFact to Improve Student Outcomes' (Amazon S, 4:15) #site2015 #smashfactapp"
"194","Great presentation from #Twitteracy at #siteconf pic.twitter.com/CakewZKtXy","Great presentation from #Twitteracy at"
"195","Twitteracy: Teaching and learning 140 characters at a time #twitteracy #siteconf","Twitteracy: Teaching and learning 140 characters at a time #twitteracy"
"196","Twitter increased S＊s learning time from other S's OUTSIDE classroom.
#twitteracy #siteconf pic.twitter.com/vhGELKNM29","Twitter increased S＊s learning time from other S's OUTSIDE classroom.
#twitteracy"
"197","#SITEconf 2015 每 Recruiting, hiring, training, supporting, and evaluating teachers: A Cross-case analysis of teaching http://wp.me/pba4d-aKd<U+00A0>","2015 每 Recruiting, hiring, training, supporting, and evaluating teachers: A Cross-case analysis of teaching"
"198",".@InvisHero knocked it out of the park presenting players, features, & enjoyment! Excited to work more with him & @LizOwensBoltz ! #siteconf",".@InvisHero knocked it out of the park presenting players, features, & enjoyment! Excited to work more with him & @LizOwensBoltz !"
"199","A form of scaffolding - making student thinking visible.  #SchoolforToday #SITE2015 #siteconf","A form of scaffolding - making student thinking visible.  #SchoolforToday #SITE2015"
"200","look up words, research, text messaging (easy, faster, enjoyable): cell phones-in-learning in sci class [Cater & Garza] #siteconf #edtech","look up words, research, text messaging (easy, faster, enjoyable): cell phones-in-learning in sci class [Cater & Garza]  #edtech"
"201","@mcdanger @ProfStay Let's do this. #siteconf @twinethreads pic.twitter.com/rsI8Ws0yZw","@mcdanger @ProfStay Let's do this.  @twinethreads"
"202","Honored to have the opportunity to work w/such amazing, talented co-authors! #siteconf @InvisHero @spgreenhalgh @danahanne @sarahfkeenan","Honored to have the opportunity to work w/such amazing, talented co-authors!  @InvisHero @spgreenhalgh @danahanne @sarahfkeenan"
"203","One can be grounded in foundations and still be creative..Punya Mishra #siteconf pic.twitter.com/211gFgMget","One can be grounded in foundations and still be a Mishra"
"204","Art and science not necessarily dichotomous, they can coexist, (in)disciplined teaching #siteconf","Art and science not necessarily dichotomous, they can coexist, (in)disciplined teaching"
"205","Never have all the information we need so creativity is essential to fill the gaps #siteconf","Never have all the information we need so creativity is essential to fill the gaps"
"206","New terms for autonomy? Open access, open choice. -Anzai Yayoi (KyuDai) #SITE2015 #SITEconf","New terms for autonomy? Open access, open choice. -Anzai Yayoi (KyuDai) #SITE2015"
"207","Conference on conference and the result is bunch of people. Am i correct? #siteconf pic.twitter.com/FlyAi38g63","Conference on conference and the result is bunch of people. Am i correct?"
"208","Student challenges & limitations that arise with digital storytelling, as incorporate into a presentation. #siteconf pic.twitter.com/rljVSR9qGm","Student challenges & limitations that arise with digital storytelling, as incorporate into a presentation."
"209","※@tyLanasaurusrex: Love the use of a mandala to illustrate ideas via @mediagrotto  #siteconf http://www.manifestoformediaeducation.co.uk/wp-content/uploads/Fig1.Mandala.jpg<U+00A0>＃ pic.twitter.com/7kQjnYoI7l§","※@tyLanasaurusrex: Love the use of a mandala to illustrate ideas via @mediagrotto"
"210","#siteconf enjoying Testing Digital Story Methods in Developing Critical Thinking Skills http://ln.is/academicexperts.org/mwYZU<U+00A0>＃ via @@siteconf","enjoying Testing Digital Story Methods in Developing Critical Thinking Skills"
"211","@kipglazer shares her students' grammar music videos that were created to support peer coaching #siteconf pic.twitter.com/3UTg2r2p5G","@kipglazer shares her students' grammar music videos that were created to support peer coaching"
"212","Enhancing critical thinking skills with Digital Storytelling. #siteconf #sunwest pic.twitter.com/uyt48WDmzo","Enhancing critical thinking skills with Digital Storytelling.  #sunwest"
"213","PSTs like learning with ICT but dislike teaching with it #siteconf","PSTs like learning with ICT but dislike teaching with it"
"214","Next up @colinaterry on #multitasking @ #site2015 #SITEConf15 #siteconf #MSUepet #epethybrid pic.twitter.com/ysJ5OLjaSq","Next up @colinaterry on #multitasking @ #site2015 15  #MSUepet #epethybrid"
"215","#SITEconf 2015 每 Lessons Learned from the Development of an Online Teaching Certificate Program for K-12 Teachers http://wp.me/pba4d-aKb<U+00A0>","2015 每 Lessons Learned from the Development of an Online Teaching Certificate Program for K-12 Teachers"
"216","@jadeballek Is this something we have access to? https://moodle.org/plugins/view/block_tts<U+00A0>＃ #siteconf #sunwest","@jadeballek Is this something we have access to?"
"217","#TTA Kapsam<U+0131>nda ger<U+00E7>ekle<U+015F>tirdikleri <U+00E7>al<U+0131><U+015F>malar<U+0131> anlatan @fatihyaman ve ilk m邦<U+015F>terisi!!! #siteconf pic.twitter.com/tI0IDN383k","#TTA Kapsam<U+0131>nda ger<U+00E7>ekle<U+015F>tirdikleri <U+00E7>al<U+0131><U+015F>malar<U+0131> anlatan @fatihyaman ve ilk m邦<U+015F>terisi!!!"
"218","Creatively representing creativity #siteconf #creativitysig Agata Hofman pic.twitter.com/BrhBmlevnK","Creatively representing creativity  #creativitysig Agata Hofman"
"219","Creatively representing creativity designed by Petra Fisser #siteconf #creativitysig pic.twitter.com/XTe123vQmp","Creatively representing creativity designed by Petra Fisser  #creativitysig"
"220","#SITEconf 2015 每 Online Teaching among World Language Teachers: What Affects Teaching Practices? http://wp.me/pba4d-aKa<U+00A0>","2015 每 Online Teaching among World Language Teachers: What Affects Teaching Practices?"
"221","#SITEconf 2015 每 Research Panel on Supporting Teachers and Accessibility in K-12 Online and Blended Learning Contexts http://wp.me/pba4d-aK8<U+00A0>","2015 每 Research Panel on Supporting Teachers and Accessibility in K-12 Online and Blended Learning Contexts"
"222","#SiteConf'ta sunu i<U+00E7>in haz<U+0131>rl<U+0131>klar tamam. #AnadoluB<U+00F6>te pic.twitter.com/pIDjlVwN4k","'ta sunu i<U+00E7>in haz<U+0131>rl<U+0131>klar tamam. #AnadoluB<U+00F6>te"
"223","RT @edtechcarmen: The #msuepet presence at #SITEConf is amazing!  So much sharing about awesome things!!  Proud to be a part of the group!","RT @edtechcarmen: The #msuepet presence at  is amazing!  So much sharing about awesome things!!  Proud to be a part of the group!"
"224","Get pumped! @TruNorth81 and I share our @UMNresearch on online motivation of #STEM #k12 teachers at #siteconf today @ 340pm in Conga A.","Get pumped! @TruNorth81 and I share our @UMNresearch on online motivation of #STEM #k12 teachers at  today @ 340pm in Conga A."
"225","#AnadoluB<U+00F6>te #Siteconf'ta #Site2015 (@ Rio Convention Center - @riovegas in Las Vegas, NV) https://www.swarmapp.com/c/g9sWzzRvN7d<U+00A0> pic.twitter.com/Ni1QFIb8Z8","#AnadoluB<U+00F6>te 'ta #Site2015 (@ Rio Convention Center - @riovegas in Las Vegas, NV)"
"226","Don't miss our Twitter/Critical Literacy in the classroom presentation at 3:40 in room #6 http://goo.gl/wWxyIN<U+00A0> #Twitteracy #SITECONF","Don't miss our Twitter/Critical Literacy in the classroom presentation at 3:40 in room #6"
"227","My own Creativity entry for the #creativitySIG at the #siteconf. Creativity is Novel, Effective and Whole or NEW. pic.twitter.com/T8fiWZkfWv","My own Creativity entry for the #creativitySIG at the . Creativity is Novel, Effective and Whole or NEW."
"228","creativity definitely involves metaphorical (& I often hope, mid-pour, literal) spilled milk #creativitysig #siteconf pic.twitter.com/9FSmCpLX7g","creativity definitely involves metaphorical (& I often hope, mid-pour, literal) spilled milk #creativitysig"
"229","#creativitysig #siteconf #MSUepet pic.twitter.com/nwdM66TLOr","#creativitysig  #MSUepet"
"230","#creativitysig #siteconf Nicoletta's idea of creativity pic.twitter.com/LKt0C1Nrly","#creativitysig  Nicoletta's idea of creativity"
"231","#creativitysig #siteconf creativity is like a free bird. pic.twitter.com/KmfOpzFeeR","#creativitysig  creativity is like a free bird."
"232","#creativity #siteconf take a letter and let you go!!! pic.twitter.com/TIMQeOScvh","#creativity  take a letter and let you go!!!"
"233","#creativitysig #siteconf pic.twitter.com/XB5o07mPpZ","#creativitysig"
"234","Creativity: juxtaposing and merging ideas #creativitysig #siteconf #musepet pic.twitter.com/wUbG5jaXoE","Creativity: juxtaposing and merging ideas #creativitysig  #musepet"
"235","#creativitysig #siteconf pic.twitter.com/lLFMe4zpuA","#creativitysig"
"236","Primary computing curriuclum shared - http://barefootcas.org.uk/<U+00A0> #siteconf","Primary computing curriuclum shared -"
"237","#siteconf ""Who am I?"" - Multicultural Encounters through New-Media Enhanced Narratives http://ln.is/academicexperts.org/UnuEC<U+00A0>＃ via @@siteconf","""Who am I?"" - Multicultural Encounters through New-Media Enhanced Narratives"
"238","New model for transformation 4Ts #siteconf #site2015 #techlead pic.twitter.com/6V7O6ISPP3","New model for transformation 4Ts  #site2015 #techlead"
"239","Having peers present topics helps motivate students to participate in workshops. #ipad #siteconf #site2015 pic.twitter.com/ooY3JTS22J","Having peers present topics helps motivate students to participate in workshops. #ipad  #site2015"
"240","Students program NAO robots at school. Continued price drop allowing for more accessibility in more schools #siteconf pic.twitter.com/3YeAVwvIgt","Students program NAO robots at school. Continued price drop allowing for more accessibility in more schools"
"241","By 2020 there will be 1.4 million jobs in the computing field but only 400,000 CS majors to fill them via @codeorg #siteconf","By 2020 there will be 1.4 million jobs in the computing field but only 400,000 CS majors to fill them via @codeorg"
"242","Check out this video of NAO robots playing soccer! https://www.youtube.com/watch?v=N8bqzjZvSmc<U+00A0>＃  #siteconf","Check out this video of NAO robots playing soccer!"
"243","How digital tools can help all students | http://strib.mn/1Ah0RRJ<U+00A0> #siteconf @SiriSensei #edtech","How digital tools can help all students |"
"244","@canmese #Siteconf'da sunusunu ger<U+00E7>ekle<U+015F>tiriyor. #AnadoluB<U+00F6>te #Site2015 pic.twitter.com/m3E20uBeif","@canmese 'da sunusunu ger<U+00E7>ekle<U+015F>tiriyor. #AnadoluB<U+00F6>te #Site2015"
"245","@tracyrenee70 Thanks for making this possible! #siteconf pic.twitter.com/Qv8uG2jnOI","@tracyrenee70 Thanks for making this possible!"
"246","App Inventor is an interesting tool where students can create apps, using coding blocks, which can be used on Android devices. #siteconf","App Inventor is an interesting tool where students can create apps, using coding blocks, which can be used on Android devices."
"247","elearning active creative and engaged! #siteconf #site2015 pic.twitter.com/VNNdCBbJSw","elearning active creative and engaged!  #site2015"
"248","Very engaging presentation about Best Practices In 1:1 http://bestpracticesin1to1.weebly.com<U+00A0>  #siteconf","Very engaging presentation about Best Practices In 1:1"
"249","RT @becbow28: Twitter can change your instruction! #siteconf #SITE2015 #twitteracy #1to1readiness","RT @becbow28: Twitter can change your instruction!  #SITE2015 #twitteracy #1to1readiness"
"250","#SITEconf 2015 每 Effective K-12 Online Course Design & Technology http://wp.me/pba4d-aKR<U+00A0>","2015 每 Effective K-12 Online Course Design & Technology"
"251","#siteconf Enhancing Preservice Teachers＊ Self-efficacy and Skills for Mobile App Integration in ... http://academicexperts.org/conf/site/2015/papers/44968/<U+00A0>＃ via @@siteconf","Enhancing Preservice Teachers＊ Self-efficacy and Skills for Mobile App Integration in ..."
"252","Keynote slide relevant for #EDUsummIT #TWG3 #siteconf pic.twitter.com/PfMZoP37ZC","Keynote slide relevant for #EDUsummIT #TWG3"
"253","FACTORS INFLUENCING TEACHERS＆ TECHNOLOGY SELF-EFFICACY: A CASE STUDY cited by @vahiltz #siteconf http://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=1529&context=doctoral<U+00A0>＃","FACTORS INFLUENCING TEACHERS＆ TECHNOLOGY SELF-EFFICACY: A CASE STUDY cited by @vahiltz"
"254","Love the practitioner focus of @vahiltz work. #siteconf #msuepet","Love the practitioner focus of @vahiltz work.  #msuepet"
"255","@vahiltz PhD Candidate presenting in #PD at #siteconf #SITE2015 #education #MSUepet #msu #epethybrid pic.twitter.com/lHITyMIW55","@vahiltz PhD Candidate presenting in #PD at  #SITE2015 #education #MSUepet #msu #epethybrid"
"256","Just a little tech at the #siteconf #site2015 pic.twitter.com/zvcneZGt0P","Just a little tech at the  #site2015"
"257","#MSUepet representing at #siteconf pic.twitter.com/de2JBRnEdY","#MSUepet representing at"
"258","@kshaw0128 go see me canary friend present on her research. #siteconf pic.twitter.com/e1uY51Dpvx","@kshaw0128 go see me canary friend present on her research."
"259","Using the TPACK Framework to Examine Technology Integration in English Language Teaching Dabbagh & Jones #siteconf pic.twitter.com/wWLNuTetlV","Using the TPACK Framework to Examine Technology Integration in English Language Teaching Dabbagh & Jones"
"260","If you wouldn't want to learn something in a certain way, don't make students.  We must be learners first, not teachers.  #siteconf","If you wouldn't want to learn something in a certain way, don't make students.  We must be learners first, not teachers."
"261","Love how @jrosenberg6432 is sharing the PROCESS of coding the study. #failureisanoption  #siteconf","Love how @jrosenberg6432 is sharing the PROCESS of coding the study. #failureisanoption"
"262","At #siteconf @jrosenberg6432 presenting on #tpack and  portfolios pic.twitter.com/bAkpqayCQ0","At  @jrosenberg6432 presenting on #tpack and  portfolios"
"263","Interesting use of Go Pro cameras to document young student actions while evaluating apps. #siteconf","Interesting use of Go Pro cameras to document young student actions while evaluating apps."
"264","Now into second presentation by same team on developing technology leadership http://academicexperts.org/conf/site/2015/presentation/44744/<U+00A0>＃ #siteconf","Now into second presentation by same team on developing technology leadership"
"265","@gotmilkenschool more observations = higher performance in Math....not quite as sig a change in reading #siteconf #SITE2015 #PD #education","@gotmilkenschool more observations = higher performance in  quite as sig a change in reading  #SITE2015 #PD #education"
"266","More useful link to gamification of TPACK http://www.handy4class.com/tpack-teacher-game/<U+00A0>＃ #siteconf","More useful link to gamification of TPACK"
"267","@SarahGretter Digital stories can blur lines between fiction & reality. Important that kids learn to assess #siteconf pic.twitter.com/7QPIkVA9Ae","@SarahGretter Digital stories can blur lines between fiction & reality. Important that kids learn to assess"
"268","An ill-defined task with a well-defined outcome: another definition of Project Based Learning #siteconf #sunwest","An ill-defined task with a well-defined outcome: another definition of Project Based Learning  #sunwest"
"269","SITE 2015 has set a record for utilized network bandwidth for our conferences.  Everybody is collaborating...and it is awesome! #siteconf","SITE 2015 has set a record for utilized network bandwidth for our conferences.  Everybody is  it is awesome!"
"270","Great teachers are great teachers, with or without technology. Do not need to be a technologist to provide 21st century education. #siteconf","Great teachers are great teachers, with or without technology. Do not need to be a technologist to provide 21st century education."
"271","Gamification in Wordpress http://academicexperts.org/conf/site/2015/presentation/44738/<U+00A0>＃ #siteconf","Gamification in Wordpress"
"272","Know the technology that makes us better teachers, but do not need to chase technology endlessly. #siteconf #sunwest","Know the technology that makes us better teachers, but do not need to chase technology endlessly.  #sunwest"
"273","※@mgilb: New Rules #Siteconf #site2015 pic.twitter.com/xs8tPw4IWV§","※@mgilb: New Rules  #site2015"
"274","※@mgilb: Sharing #SchoolforToday #research #SITE2015 #SITEConf pic.twitter.com/FeXTeuIeEp§","※@mgilb: Sharing #SchoolforToday #research #SITE2015"
"275","UNESCO consultant register http://en.unesco.org/careers/consultant%20and%20experts<U+00A0>＃ #siteconf","UNESCO consultant register"
"276","#siteconf #msftedu Interesting that our many countries are so different, but our students suffer from the same problems in education.","#msftedu Interesting that our many countries are so different, but our students suffer from the same problems in education."
"277","#siteconf From Keynote,  it's  less use of ICT than a responsible use of ICT. pic.twitter.com/6vi3bqFfuY pic.twitter.com/HO0J3aSLNb","From Keynote,  it's  less use of ICT than a responsible use of ICT."
"278","Top 3 actions for teachers - continuous TPD, initial preparation, benefits #siteconf","Top 3 actions for teachers - continuous TPD, initial preparation, benefits"
"279","Too little research on problems.  #SITE2015 #siteconf pic.twitter.com/XyckMa6bnJ","Too little research on problems.  #SITE2015"
"280","One of underlying messages of keynote is to really think about the metrics and indicators we're using. #siteconf","One of underlying messages of keynote is to really think about the metrics and indicators we're using."
"281","Too little research regarding what's not working in education. #siteconf","Too little research regarding what's not working in education."
"282","Too much research on things and not enough research on problems? #siteconf pic.twitter.com/XpG0cPnRCt","Too much research on things and not enough research on problems?"
"283","@eighteen very interesting. Those words are oddly familiar! ;) #siteconf https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MJ2HJEAAAAJ&citation_for_view=6MJ2HJEAAAAJ:qjMakFHDy7sC<U+00A0>＃","@eighteen very interesting. Those words are oddly familiar! ;)"
"284","@shamarcookie how can we teach and measure the kind of learning for the future we want? UNESCO ed strategy #siteconf pic.twitter.com/LHOOe1hjjF","@shamarcookie how can we teach and measure the kind of learning for the future we want? UNESCO ed strategy"
"285","ICT Doesn't do anything: teachers do. #siteconf","ICT Doesn't do anything: teachers do."
"286","Was that a Power Mac Performa 5xxx series? Wow! #SITEconf pic.twitter.com/EUnflZoLbR","Was that a Power Mac Performa 5xxx series? Wow!"
"287","Research needed:  How can we measure 'learning to live together' to achieve the future we want? Jonghwi Park, UNESCO #site2015
#siteconf","Research needed:  How can we measure 'learning to live together' to achieve the future we want? Jonghwi Park, UNESCO #site2015"
"288","How do we measure the learning we need to learn to live together? #siteconf pic.twitter.com/uCRATup4LM","How do we measure the learning we need to learn to live together?"
"289","Jonghwi Park, UNESCO, Indicators measuring quality in education? Are we considering the #happiness of the student? #SITE2015 #siteconf","Jonghwi Park, UNESCO, Indicators measuring quality in education? Are we considering the #happiness of the student? #SITE2015"
"290","Numbers can lie. #siteconf pic.twitter.com/FpL1Ctduax","Numbers can lie."
"291","While at the top of PISA, children in Finland and Korea rank at the bottom for happiness. #siteconf #worthit?","While at the top of PISA, children in Finland and Korea rank at the bottom for happiness.  #worthit?"
"292","From Keynote -  ""Do the scores matter if the children are not happy."" #siteconf","From Keynote -  ""Do the scores matter if the children are not happy."""
"293","Interesting data on kids happiness in schools from PISA, happiness and scores negatively related #siteconf","Interesting data on kids happiness in schools from PISA, happiness and scores negatively related"
"294","Do we want students that perform well on PISA but are miserable in school? (Obviously a balance to be found, but good question). #siteconf","Do we want students that perform well on PISA but are miserable in school? (Obviously a balance to be found, but good question)."
"295","An international quality issue. After 4 years of schooling still leaves 250 mill children unable to read. #siteconf pic.twitter.com/wNXLoZzUAU","An international quality issue. After 4 years of schooling still leaves 250 mill children unable to read."
"296","Being in school doesn't guarantee a child he/she becomes literate. #siteconf #pedagogy#learner-centered","Being in school doesn't guarantee a child he/she becomes literate.  #pedagogy#learner-centered"
"297","250million kids can't read or write whether in school or not! #siteconf 
We need quality teachers worldwide.","250million kids can't read or write whether in school or not!  
We need quality teachers worldwide."
"298","We're not just talking digital divides but also knowledge divides. How can ICT help? #siteconf pic.twitter.com/7Ubs0ISrtw","We're not just talking digital divides but also knowledge divides. How can ICT help?"
"299","How do we reach the 58 million kids who are not in school?  What is the role of technology? #siteconf pic.twitter.com/baaasq5FF5","How do we reach the 58 million kids who are not in school?  What is the role of technology?"
"300","Digital divides leads to knowledge and opportunity divides. #siteconf","Digital divides leads to knowledge and opportunity divides."
"301","From keynote  -  barriers to Education.  Schools with no toilets or Internet #siteconf","From keynote  -  barriers to Education.  Schools with no toilets or Internet"
"302","""If we still can't achieve the universal primary education goal by 2015, it's not b/c we can't but b/c we don't care"" #siteconf #unesco","""If we still can't achieve the universal primary education goal by 2015, it's not b/c we can't but b/c we don't care""  #unesco"
"303","168 m child labourers, 39000 child marriages daily, 250000 in conflicts, 150 m disabled #siteconf","168 m child labourers, 39000 child marriages daily, 250000 in conflicts, 150 m disabled"
"304","There are 39,000 child marriages per day, mostly against their will. #siteconf","There are 39,000 child marriages per day, mostly against their will."
"305","Jonghwi Park, UNEACO, Thailand.. Education for the Future we want: A Call for Action #siteconf pic.twitter.com/DLudX6vOUR","Jonghwi Park, UNEACO, Thailand.. Education for the Future we want: A Call for Action"
"306","Millennium Development Goals include universal primary education but remaining goals depend on education #siteconf","Millennium Development Goals include universal primary education but remaining goals depend on education"
"307","※@palbion: Keynote by Jonghwi Park of UNESCO Thailand - Education for the future we want #siteconf preferred futures #edp4130§","※@palbion: Keynote by Jonghwi Park of UNESCO Thailand - Education for the future we want  preferred futures #edp4130§"
"308","#siteconf #msftedu this our keynote that starts us off, today. pic.twitter.com/5typ7Gh1GI","#msftedu this our keynote that starts us off, today."
"309","#inventanything @st4tevent ""Authentic Creation = learning = Amazing!"" http://www.katieannwilson.com<U+00A0> #BFC530 #LDchat  #ncties15 #WLC2015 #siteconf","#inventanything @st4tevent ""Authentic Creation = learning = Amazing!"" <U+00A0> #BFC530 #LDchat  #ncties15 #WLC2015"
"310","Selected images from my Monday workshop trip to Red Rock Canyon https://flic.kr/s/aHsk8ojeZ2<U+00A0> #siteconf","Selected images from my Monday workshop trip to Red Rock Canyon"
"311","Twitter, critical literacy, & the English curriculum: Come see our talk TODAY at 3:40 in rm#6. #SITE2015 #SITEconf","Twitter, critical literacy, & the English curriculum: Come see our talk TODAY at 3:40 in rm#6. #SITE2015"
"312","Newcomer Welcome is such a hit, we＊ve moved to Amazon A for more space! See u there today after keynote #siteconf","Newcomer Welcome is such a hit, we＊ve moved to Amazon A for more space! See u there today after keynote"
"313","Open Source textbooks and Teacher editions #SITE2015 #SITEconf pic.twitter.com/QJCf4D8OR6","Open Source textbooks and Teacher editions #SITE2015"
"314","#SITEconf 2015 每 Closing the Gap: Preparation of Pre-service Teachers in Online<U+00A0>Learning http://wp.me/pba4d-aJM<U+00A0>","2015 每 Closing the Gap: Preparation of Pre-service Teachers in Online<U+00A0>Learning"
"315","#SITEconf 2015: Collaboration Practices and Attitudes for Students in Cyber Charter<U+00A0>Classrooms http://wp.me/pba4d-aJL<U+00A0>","2015: Collaboration Practices and Attitudes for Students in Cyber Charter<U+00A0>Classrooms"
"316","@optimistmalia Blendspace (http://blendspace.com<U+00A0>) and Samepage (samepage.io) are 2 I like as well! #delt17 #siteconf #flippedclass","@optimistmalia Blendspace (<U+00A0>) and Samepage () are 2 I like as well! #delt17  #flippedclass"
"317","Not your typical academic conference. #siteconf pic.twitter.com/1arGsPLadN","Not your typical academic conference."
"318","Great day for Active Learning Lab with 3 successful presentations #SITEConf @utahstateITLS @usuCEHS pic.twitter.com/YxarxF1pz2","Great day for Active Learning Lab with 3 successful presentations  @utahstateITLS @usuCEHS"
"319","The ""how can we make this [game]"" question was asked in every class. These are second graders. #siteconf","The ""how can we make this [game]"" question was asked in every class. These are second graders."
"320","Sharing #SchoolforToday #research #SITE2015 #SITEConf pic.twitter.com/vX0In45Pk4","Sharing #SchoolforToday #research #SITE2015"
"321","""There's a lot of fertile ground [in games and non-STEM fields]"" - @joltman1 #siteconf","""There's a lot of fertile ground [in games and non-STEM fields]"" - @joltman1"
"322","#siteconf Allowing students to be social in game-based activity naturally led to peer scaffolding.","Allowing students to be social in game-based activity naturally led to peer scaffolding."
